n_neurons,firing_count,leak_rate,reset_potential,excitatory_fraction,k_prop,decay_alpha,oja_alpha,learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.035109,0.035109,0.040927,0.002913,418.351857,25.025845,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.088871,0.088871,0.022334,0.016853,39.860571,57.332865,665.043478,922.189478,25.869565,35.857574,23
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.073507,0.073507,0.017244,0.013731,28.257000,15.251485,1015.400000,891.069156,39.300000,34.345451,10
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.088091,0.088091,0.018323,0.014416,14.324571,9.543888,816.473684,1078.481260,30.736842,39.805900,19
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.010910,0.010910,0.017368,0.010758,3.655857,3.824208,25.625000,1.316957,1.000000,0.000000,8
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.063464,0.063464,0.018839,0.014390,55.613143,69.549580,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.084235,0.084235,0.016624,0.014175,20.815857,12.424996,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.051146,0.051146,0.028134,0.008995,212.363286,54.799472,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.090229,0.090229,0.021190,0.015317,24.092857,16.397211,16542.666667,2425.860168,322.000000,69.641941,3
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.036727,0.036727,0.040916,0.003124,410.027143,34.964523,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.022255,0.022255,0.044924,0.002067,477.454571,30.283531,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.013469,0.013469,0.043831,0.001692,461.863714,49.147094,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.099558,0.099558,0.024044,0.018878,24.102143,54.659910,4028.000000,0.000000,127.000000,0.000000,1
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.015611,0.015611,0.044174,0.001828,469.758286,36.977018,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.074688,0.074688,0.015862,0.013906,11.620286,14.183052,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.050069,0.050069,0.035065,0.005405,317.310571,35.510495,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.099769,0.099769,0.031287,0.013916,14.368857,20.220872,258.566667,1206.787711,8.833333,40.143977,30
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.064403,0.064403,0.020591,0.011768,95.864571,41.233412,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.026782,0.026782,0.044792,0.001865,476.088857,24.382824,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.065553,0.065553,0.021077,0.010907,111.274143,32.573729,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.008970,0.008970,0.019152,0.007018,3.104714,4.199936,25.333333,0.471405,1.000000,0.000000,3
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.019394,0.019394,0.044636,0.001988,474.551000,34.071416,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.008249,0.008249,0.026707,0.003906,193.079286,69.195777,112164.583333,357884.727711,556.583333,1641.882987,12
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.035278,0.035278,0.042420,0.002417,438.010857,26.246630,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000500,0.002000,0.079666,0.079666,0.017035,0.015022,15.202429,18.299368,0.000000,0.000000,0.000000,0.000000,0
