size,duration
28116,250
84,3
80,3
29,1
28,1
34,1
32,1
23,1
37,1
43,1
34,1
31,1
34,1
26,1
17,1
31,1
22,1
40,1
32,1
29,1
20,1
28,1
21,1
20,1
34,1
15,1
21,1
31,1
30,1
31,1
34,1
22,1
26,1
25,1
30,1
37,1
22,1
32,1
23,1
29,1
28,1
21,1
22,1
22,1
36,1
24,1
38,1
33,1
23,1
30,1
30,1
30,1
22,1
24,1
25,1
39,1
22,1
28,1
29,1
22,1
21,1
24,1
26,1
35,1
23,1
20,1
27,1
25,1
25,1
20,1
26,1
27,1
44,1
27,1
24,1
28,1
26,1
31,1
24,1
31,1
27,1
25,1
18,1
23,1
17,1
34,1
26,1
31,1
32,1
20,1
33,1
17,1
