n_neurons,firing_count,leak_rate,reset_potential,excitatory_fraction,k_prop,decay_alpha,oja_alpha,learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.035109,0.035109,0.048654,0.004013,5.463857,6.475391,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.088871,0.088871,0.056851,0.009340,10.762286,4.991714,47.967480,17.482133,1.658537,0.538430,123
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.073507,0.073507,0.070774,0.014299,11.959143,7.337149,66.186992,22.999770,2.101626,0.688049,246
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.088091,0.088091,0.050298,0.011573,12.085857,4.541922,38.125000,13.775923,1.375000,0.484123,72
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.010910,0.010910,0.012657,0.011733,0.000857,0.029264,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.063464,0.063464,0.102375,0.007096,16.534286,15.098239,100.730238,32.029805,2.831870,0.864373,797
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.084235,0.084235,0.059626,0.012526,11.813429,5.843242,61.687898,24.033907,2.101911,0.741703,157
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.051146,0.051146,0.075922,0.003579,8.603143,9.125674,30.490591,2.986514,1.000000,0.000000,744
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.090229,0.090229,0.060878,0.013317,12.837000,5.723897,58.038462,22.763805,1.929487,0.717118,156
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.036727,0.036727,0.057600,0.003683,6.860429,7.724087,25.232877,0.422664,1.000000,0.000000,146
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.022255,0.022255,0.021017,0.009999,1.742143,1.827003,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.013469,0.013469,0.015071,0.010809,0.692571,0.832244,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.099558,0.099558,0.065283,0.012059,14.930857,6.235206,77.604938,30.603066,2.530864,0.930769,162
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.015611,0.015611,0.015616,0.010876,0.807000,0.909023,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.074688,0.074688,0.127241,0.010017,19.870000,18.284840,163.600358,43.398377,3.663082,0.750937,558
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.050069,0.050069,0.075117,0.003794,7.850714,8.973954,29.602378,2.577547,1.000000,0.000000,757
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.099769,0.099769,0.063102,0.014625,14.168000,6.004551,71.587838,30.891031,2.351351,0.928999,148
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.064403,0.064403,0.105806,0.006792,14.475571,14.999323,87.080940,26.662992,2.369452,0.706594,766
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.026782,0.026782,0.027308,0.007784,2.476571,2.950694,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.065553,0.065553,0.097008,0.008827,12.963143,12.798351,80.950342,25.150491,2.243151,0.671678,584
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.008970,0.008970,0.012662,0.011738,0.000571,0.023898,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.019394,0.019394,0.017949,0.010476,1.273857,1.368316,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.008249,0.008249,0.012664,0.011740,0.000429,0.020698,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.035278,0.035278,0.048850,0.004002,5.469714,6.484460,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.079666,0.079666,0.061464,0.015172,12.186286,6.167855,62.151163,22.952437,2.098837,0.720625,172
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.029588,0.029588,0.033575,0.007370,3.806857,3.958370,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.068365,0.068365,0.114678,0.006598,16.313571,16.595381,117.223583,31.695801,2.901991,0.688705,653
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.095748,0.095748,0.051374,0.016457,11.619714,4.422534,42.636364,17.346414,1.469697,0.556496,66
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.009352,0.009352,0.012660,0.011736,0.000714,0.026717,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.006550,0.006550,0.012683,0.011758,0.000286,0.016901,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.013632,0.013632,0.015095,0.010802,0.696714,0.835047,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.024020,0.024020,0.021669,0.009659,1.727000,1.872557,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.056502,0.056502,0.089975,0.003765,10.922000,12.381942,55.070312,16.573943,1.640625,0.479817,768
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.001023,0.001023,0.012732,0.011803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.062345,0.062345,0.091319,0.003584,11.360571,12.084653,60.805638,15.485493,1.789318,0.407793,674
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.047183,0.047183,0.074907,0.004105,9.525000,9.831623,31.040293,3.101000,1.000000,0.000000,819
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.065036,0.065036,0.110464,0.007190,14.509714,15.174073,77.405852,18.008534,1.988550,0.414276,786
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.036777,0.036777,0.058025,0.004028,6.660286,7.702598,25.251656,0.433964,1.000000,0.000000,151
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.098644,0.098644,0.067970,0.008559,12.657714,6.101029,71.096970,24.776143,2.242424,0.671060,165
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.059702,0.059702,0.089177,0.003024,10.994000,11.736584,57.106287,16.423177,1.705090,0.456002,668
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.047531,0.047531,0.077155,0.004063,9.346571,10.284824,31.806643,3.315996,1.000000,0.000000,843
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.074573,0.074573,0.065495,0.013152,13.166571,6.834135,62.794643,21.611686,2.035714,0.646813,224
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.011655,0.011655,0.012649,0.011725,0.000714,0.026717,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.039235,0.039235,0.060264,0.001818,6.426143,8.017355,26.219027,1.155323,1.000000,0.000000,452
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.008552,0.008552,0.012660,0.011736,0.000429,0.020698,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.000484,0.000484,0.012734,0.011805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.036862,0.036862,0.058179,0.004087,6.668714,7.712075,25.248366,0.432065,1.000000,0.000000,153
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.051337,0.051337,0.075487,0.004533,9.141857,9.381046,30.867133,3.164130,1.000000,0.000000,715
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.091065,0.091065,0.059521,0.013254,12.651000,5.351560,51.955882,19.384222,1.757353,0.624221,136
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.069386,0.069386,0.124461,0.007424,16.998714,18.652143,128.665152,32.519761,2.921212,0.600382,660
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.020691,0.020691,0.018397,0.010523,1.296000,1.377093,0.000000,0.000000,0.000000,0.000000,0
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.093760,0.093760,0.068110,0.011136,11.847714,6.497029,69.921348,25.952301,2.202247,0.729472,178
500,50,1.000000,0.000000,1.000000,0.030000,0.000500,0.002000,0.084657,0.084657,0.061042,0.013728,12.013714,5.975386,65.754491,24.422299,2.191617,0.741694,167
